Year,Month,Sum of NUMERIC Hours per survey per month,Encounters,ER,Site,Actual_survey_hours(HMS)
2014,3,13.92,3,0.22,Knysna,13:55:00
2014,4,19.5,4,0.21,Knysna,19:30:00
2014,5,12.78,4,0.31,Knysna,12:47:00
2014,6,15.38,4,0.26,Knysna,15:23:00
2014,7,7.9,2,0.25,Knysna,07:54:00
2014,8,13.05,2,0.15,Knysna,13:03:00
2014,9,4.67,0,0,Knysna,04:40:00
2014,10,14.75,1,0.07,Knysna,14:45:00
2014,11,16.47,2,0.12,Knysna,16:28:00
2014,12,13.08,1,0.08,Knysna,13:05:00
2015,1,15.4,3,0.19,Knysna,15:24:00
2015,2,17.58,4,0.23,Knysna,17:35:00
2015,3,17.7,4,0.23,Knysna,17:42:00
2015,4,12.7,5,0.39,Knysna,12:42:00
2015,5,18.85,2,0.11,Knysna,18:51:00
2015,6,17.18,3,0.17,Knysna,17:11:00
2014,3,11.32,1,0.09,Plettenberg,11:19:00
2014,4,42.58,7,0.16,Plettenberg,42:35:00
2014,5,9.87,6,0.61,Plettenberg,09:52:00
2014,6,4.83,0,0,Plettenberg,04:50:00
2014,7,9.92,6,0.61,Plettenberg,09:55:00
2014,8,8.68,0,0,Plettenberg,08:41:00
2014,9,10.68,3,0.28,Plettenberg,10:41:00
2014,10,12.93,2,0.15,Plettenberg,12:56:00
2014,11,5.58,1,0.18,Plettenberg,05:35:00
2014,12,4.13,0,0,Plettenberg,04:08:00
2015,1,16.48,5,0.3,Plettenberg,16:29:00
2015,2,12.85,2,0.16,Plettenberg,12:51:00
2015,3,9.28,1,0.11,Plettenberg,09:17:00
2015,4,8.12,0,0,Plettenberg,08:07:00
2015,5,8.6,0,0,Plettenberg,08:36:00
2015,6,14.83,4,0.27,Plettenberg,14:50:00
2014,3,0,0,0,Tsitsikamma,
2014,4,13.07,1,0.08,Tsitsikamma,13:04:00
2014,5,9.53,0,0,Tsitsikamma,09:32:00
2014,6,9.73,1,0.1,Tsitsikamma,09:44:00
2014,7,5.13,0,0,Tsitsikamma,05:08:00
2014,8,8.27,0,0,Tsitsikamma,08:16:00
2014,9,9.75,2,0.21,Tsitsikamma,09:45:00
2014,10,0,0,0,Tsitsikamma,
2014,11,7.38,1,0.135501355,Tsitsikamma,07:23:00
2014,12,5.58,0,0,Tsitsikamma,05:35:00
2015,1,5.95,2,0.34,Tsitsikamma,05:57:00
2015,2,10.95,1,0.09,Tsitsikamma,10:57:00
2015,3,20.28,4,0.2,Tsitsikamma,20:17:00
2015,4,9.77,0,0,Tsitsikamma,09:46:00
2015,5,3.98,1,0.25,Tsitsikamma,03:59:00
2015,6,12.9,3,0.23,Tsitsikamma,12:54:00
