Study site,Individual,Date,DolphinMonth,Time,lat,lon,This matches the number of individuals and encounters in the 2014/15 Plett multimark data
Plettenberg,Roslynne,2014/05/25,2014_5,09:06:45,-34.0845,23.37378,
Plettenberg,Sanra,2014/05/25,2014_5,09:07:02,-34.0845,23.37378,
Plettenberg,Pierre,2014/05/25,2014_5,09:07:02,-34.0845,23.37378,
Plettenberg,Steve,2014/05/25,2014_5,09:09:28,-34.0845,23.37378,
Plettenberg,Maverick,2014/05/25,2014_5,09:09:28,-34.0845,23.37378,
Plettenberg,Maverick,2014/05/25,2014_5,12:28:07,-34.0133,23.4337,
Plettenberg,Grey,2014/05/25,2014_5,12:28:07,-34.0133,23.4337,
Plettenberg,Pierre,2014/05/26,2014_5,11:42:42,-34.1053,23.4101,
Plettenberg,Jacques,2014/07/11,2014_7,09:46:41,-34.0113,23.44071,
Plettenberg,Christiaan,2014/07/11,2014_7,09:46:41,-34.0113,23.44071,
Plettenberg,Michelle,2014/07/11,2014_7,09:46:54,-34.0113,23.44071,
Plettenberg,Evelyn,2014/07/11,2014_7,10:09:28,-34.0103,23.44365,
Plettenberg,Johan,2014/07/11,2014_7,10:09:34,-34.0103,23.44365,
Plettenberg,Eric,2014/07/11,2014_7,10:09:44,-34.0103,23.44365,
Plettenberg,Johan,2014/07/11,2014_7,12:12:45,-34.0373,23.39359,
Plettenberg,Krista,2014/07/11,2014_7,12:14:24,-34.0373,23.39359,
Plettenberg,Michelle,2014/07/11,2014_7,12:18:05,-34.0373,23.39359,
Plettenberg,Daniel,2014/07/11,2014_7,12:21:00,-34.0373,23.39359,
Plettenberg,Eric,2014/07/11,2014_7,12:21:16,-34.0373,23.39359,
Plettenberg,Christiaan,2014/07/11,2014_7,12:21:20,-34.0373,23.39359,
Plettenberg,Evelyn,2014/07/11,2014_7,12:21:22,-34.0373,23.39359,
Plettenberg,Michelle,2014/07/11,2014_7,13:51:25,-34.0903,23.37493,
Plettenberg,Evelyn,2014/07/11,2014_7,13:51:33,-34.0903,23.37493,
Plettenberg,Christiaan,2014/07/11,2014_7,13:55:33,-34.0903,23.37493,
Plettenberg,Johan,2014/07/11,2014_7,13:55:42,-34.0903,23.37493,
Plettenberg,Eric,2014/07/11,2014_7,13:56:16,-34.0903,23.37493,
Plettenberg,Daniel,2014/07/11,2014_7,13:56:31,-34.0903,23.37493,
Plettenberg,Matthys,2014/07/13,2014_7,09:26:20,-34.0388,23.39167,
Plettenberg,Grey,2014/09/15,2014_9,09:54:57,-34.01842,23.42034,
Plettenberg,Evelyn,2014/09/16,2014_9,08:07:22,-34.0066,23.46275,
Plettenberg,Nick,2014/09/16,2014_9,08:09:50,-34.0066,23.46275,
Plettenberg,Grey,2014/09/16,2014_9,10:31:13,-34.06498,23.37963,
Plettenberg,Johan,2014/09/16,2014_9,10:34:25,-34.06498,23.37963,
Plettenberg,Evelyn,2014/09/16,2014_9,10:34:27,-34.06498,23.37963,
Plettenberg,Nick,2014/09/16,2014_9,10:35:14,-34.06498,23.37963,
Plettenberg,Adrian,2014/09/16,2014_9,10:35:15,-34.06498,23.37963,
