year2020,month2020,trip2020,year2021,month2021,trip2021,year2022,month2022,trip2022
02-Jan-20,1,1,01-Jan-21,1,1,01-Jan-21,1,1
02-Jan-20,1,1,03-Jan-21,1,1,03-Jan-21,1,1
02-Jan-20,1,1,03-Jan-21,1,2,03-Jan-21,1,2
02-Jan-20,1,1,04-Jan-21,1,1,04-Jan-21,1,1
02-Jan-20,1,1,05-Jan-21,1,1,05-Jan-21,1,1
02-Jan-20,1,1,06-Jan-21,1,1,06-Jan-21,1,1
03-Jan-20,1,1,06-Jan-21,1,2,06-Jan-21,1,2
03-Jan-20,1,2,06-Jan-21,1,3,06-Jan-21,1,3
03-Jan-20,1,2,07-Jan-21,1,1,07-Jan-21,1,1
03-Jan-20,1,2,07-Jan-21,1,2,07-Jan-21,1,2
03-Jan-20,1,2,07-Jan-21,1,2,07-Jan-21,1,2
03-Jan-20,1,3,17-Jan-21,1,1,17-Jan-21,1,1
03-Jan-20,1,3,17-Jan-21,1,2,17-Jan-21,1,2
03-Jan-20,1,3,21-Jan-21,1,1,21-Jan-21,1,1
03-Jan-20,1,3,21-Jan-21,1,1,21-Jan-21,1,1
03-Jan-20,1,4,09-Feb-21,2,1,09-Feb-21,2,1
03-Jan-20,1,4,11-Feb-21,2,1,11-Feb-21,2,1
03-Jan-20,1,4,24-Feb-21,2,1,24-Feb-21,2,1
03-Jan-20,1,4,02-Mar-21,3,1,02-Mar-21,3,1
03-Jan-20,1,4,02-Mar-21,3,1,02-Mar-21,3,1
04-Jan-20,1,1,04-Mar-21,3,1,04-Mar-21,3,1
04-Jan-20,1,2,09-Mar-21,3,1,09-Mar-21,3,1
04-Jan-20,1,2,10-Mar-21,3,1,,,
05-Jan-20,1,1,12-Mar-21,3,1,,,
05-Jan-20,1,1,13-Mar-21,3,1,,,
05-Jan-20,1,1,17-Mar-21,3,1,,,
05-Jan-20,1,1,18-Mar-21,3,1,,,
05-Jan-20,1,1,18-Mar-21,3,1,,,
05-Jan-20,1,2,20-Mar-21,3,1,,,
05-Jan-20,1,2,21-Mar-21,3,1,,,
05-Jan-20,1,2,23-Mar-21,3,1,,,
06-Jan-20,1,1,25-Mar-21,3,1,,,
06-Jan-20,1,1,26-Mar-21,3,1,,,
06-Jan-20,1,1,30-Mar-21,3,1,,,
06-Jan-20,1,1,30-Mar-21,3,1,,,
08-Jan-20,1,1,31-Mar-21,3,1,,,
08-Jan-20,1,1,03-Apr-21,4,1,,,
08-Jan-20,1,1,03-Apr-21,4,2,,,
08-Jan-20,1,2,03-Apr-21,4,2,,,
08-Jan-20,1,2,04-Apr-21,4,1,,,
08-Jan-20,1,2,04-Apr-21,4,2,,,
08-Jan-20,1,2,05-Apr-21,4,1,,,
