area,day,month,year,lat,lon,max_no,min_no,best_no,calves,juveniles,behaviour
Plettenberg,2,March,2014,-34.0188,23.42067,2,2,2,0,0,Unknown
Knysna,26,March,2014,-34.04265,22.81603,2,2,2,0,0,Travelling and foraging
Knysna,28,March,2014,-34.08842,22.98027,5,5,5,2,0,Foraging
Knysna,28,March,2014,-34.06968,22.91815,5,5,5,2,0,Socialising and foraging
Plettenberg,10,April,2014,-34.0067,23.45621,1,1,1,0,0,Unknown
Plettenberg,11,April,2014,-34.084,23.09672,3,3,3,0,1,Milling
Plettenberg,11,April,2014,-34.0838,23.10275,1,1,1,0,0,Unknown
Plettenberg,11,April,2014,-34.0877,23.19028,1,1,1,0,0,Unknown
Plettenberg,12,April,2014,-33.9899,23.55203,2,2,2,0,0,Unknown
Plettenberg,12,April,2014,-33.9852,23.58297,1,1,1,0,0,Unknown
Plettenberg,16,April,2014,-34.0067,23.48957,3,3,3,0,0,Milling
Tsitsikamma,17,April,2014,-34.00228,23.75407,3,3,3,1,0,Unknown
Knysna,24,April,2014,-34.08515,22.9521,1,1,1,0,0,Travelling
Knysna,25,April,2014,-34.08747,22.98062,3,3,3,1,1,Travelling and foraging
Knysna,25,April,2014,-34.06187,22.89113,5,5,5,2,1,Travelling and socialising
Knysna,25,April,2014,-34.07695,23.0031,6,6,6,2,2,Travelling
Plettenberg,25,May,2014,-34.0845,23.37378,10,8,9,1,1,Travelling
Plettenberg,25,May,2014,-34.0133,23.4337,9,9,9,1,1,Unknown
Plettenberg,26,May,2014,-34.0079,23.45919,4,4,4,0,0,Unknown
Plettenberg,26,May,2014,-34.007,23.47843,1,1,1,0,0,Unknown
Plettenberg,26,May,2014,-34.0212,23.4171,5,4,4,0,0,Unknown
Plettenberg,26,May,2014,-34.1053,23.4101,2,2,2,0,0,Unknown
Knysna,27,May,2014,-34.08567,23.062,5,5,5,0,0,Travelling
Knysna,27,May,2014,-34.07152,22.92251,5,5,5,0,0,Unknown
Knysna,27,May,2014,-34.08553,22.95464,3,3,3,0,0,Socialising and foraging
Knysna,28,May,2014,-34.07812,22.99015,1,1,1,0,0,Unknown
Knysna,11,June,2014,-34.0896,22.98135,5,4,5,0,0,Travelling and foraging
Knysna,12,June,2014,-34.08825,23.05582,5,4,5,2,0,Travelling and foraging
Knysna,12,June,2014,-34.07301,22.92021,2,2,2,0,0,Travelling
Knysna,12,June,2014,-34.0869,22.97967,14,10,12,4,0,Socialising
Tsitsikamma,28,June,2014,-33.98644,23.57964,3,3,3,0,1,Travelling and foraging
Plettenberg,11,July,2014,-34.0108,23.44363,2,2,2,0,1,Travelling
Plettenberg,11,July,2014,-34.0113,23.44071,4,4,4,1,0,Travelling
Plettenberg,11,July,2014,-34.0103,23.44365,3,3,3,0,1,Travelling
Plettenberg,11,July,2014,-34.0373,23.39359,7,5,6,1,0,Travelling
Plettenberg,11,July,2014,-34.0903,23.37493,7,3,6,1,0,Travelling
Plettenberg,13,July,2014,-34.0388,23.39167,3,2,2,1,0,Travelling
Knysna,28,July,2014,-34.07688,22.99866,5,5,5,2,0,Foraging
